num_of_agents,num_of_items,value_noise_ratio,beta,delta,use_threads,algorithm,random_seed,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
22,8,0.8,0.001,{0.34},True,tabu_search,0,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1563595000043278
22,8,0.8,0.001,{0.34},True,tabu_search,1,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1453359000006457
22,8,0.8,0.001,{0.34},True,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1898817000037524
22,8,0.8,0.001,{0.34},True,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1501640999922529
22,8,0.8,0.001,{0.34},True,tabu_search,4,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.150198300005286
22,8,1.0,0.001,{0.34},False,tabu_search,0,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1500080999976489
22,8,1.0,0.001,{0.34},False,tabu_search,1,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1543416000058641
22,8,1.0,0.001,{0.34},False,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1597013999999035
22,8,1.0,0.001,{0.34},False,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1540775000030407
22,8,1.0,0.001,{0.34},False,tabu_search,4,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1518494999909307
22,8,1.0,0.001,{0.34},True,tabu_search,0,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1862078999984078
22,8,1.0,0.001,{0.34},True,tabu_search,1,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1513311000016983
22,8,1.0,0.001,{0.34},True,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1503488999878754
22,8,1.0,0.001,{0.34},True,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1467946000047959
22,8,1.0,0.001,{0.34},True,tabu_search,4,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1560796000121627
23,8,0.0,0.001,{0.34},False,tabu_search,0,100.0,100.0,0.0,0.0,0,0.0,23,23,23,0.1498451999941608
23,8,0.0,0.001,{0.34},False,tabu_search,1,100.0,100.0,0.0,0.0,0,0.0,23,23,23,0.1735625000001164
23,8,0.0,0.001,{0.34},False,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,23,23,23,0.1646524999960092
23,8,0.0,0.001,{0.34},False,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,23,23,23,0.1943079000047873
23,8,0.0,0.001,{0.34},False,tabu_search,4,100.0,100.0,0.0,0.0,0,0.0,23,23,23,0.1590788999892538
23,8,0.0,0.001,{0.34},True,tabu_search,0,100.0,100.0,0.0,0.0,0,0.0,23,23,23,0.160052799998084
23,8,0.0,0.001,{0.34},True,tabu_search,1,100.0,100.0,0.0,0.0,0,0.0,23,23,23,0.1619838000042364
23,8,0.0,0.001,{0.34},True,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,23,23,23,0.1605416999955196
23,8,0.0,0.001,{0.34},True,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,23,23,23,0.1585708999919006
23,8,0.0,0.001,{0.34},True,tabu_search,4,100.0,100.0,0.0,0.0,0,0.0,23,23,23,0.1698935000022174
23,8,0.2,0.001,{0.34},False,tabu_search,0,100.0,100.0,0.0,0.0,0,0.0,23,23,23,0.2175933999969856
23,8,0.2,0.001,{0.34},False,tabu_search,1,100.0,100.0,0.0,0.0,0,0.0,23,23,23,0.1581340999982785
23,8,0.2,0.001,{0.34},False,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,23,23,23,0.1593066000059479
23,8,0.2,0.001,{0.34},False,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,23,23,23,0.1630628999992041
